,w_trip_id,waypoint_seq,capture_time,lat,lon,raw_speed,raw_speed_metric
54,0008216eee32c3901a4b1e3525f22f2c,7,2019-09-26T04:37:00.000Z,52.343068,9.8666,11.0,kph
55,0008216eee32c3901a4b1e3525f22f2c,7,2019-09-26T04:37:00.000Z,52.343068,9.8666,11.0,kph
56,0008216eee32c3901a4b1e3525f22f2c,35,2019-09-26T04:41:09.000Z,52.354712,9.868498,13.0,kph
57,0008216eee32c3901a4b1e3525f22f2c,35,2019-09-26T04:41:09.000Z,52.354712,9.868498,13.0,kph
58,0008216eee32c3901a4b1e3525f22f2c,20,2019-09-26T04:39:09.000Z,52.348262,9.868548,39.0,kph
59,0008216eee32c3901a4b1e3525f22f2c,20,2019-09-26T04:39:09.000Z,52.348262,9.868548,39.0,kph
60,0008216eee32c3901a4b1e3525f22f2c,50,2019-09-26T04:43:12.000Z,52.343902,9.866548,16.0,kph
61,0008216eee32c3901a4b1e3525f22f2c,50,2019-09-26T04:43:12.000Z,52.343902,9.866548,16.0,kph
62,0008216eee32c3901a4b1e3525f22f2c,28,2019-09-26T04:40:11.000Z,52.35375,9.869652,22.0,kph
63,0008216eee32c3901a4b1e3525f22f2c,28,2019-09-26T04:40:11.000Z,52.35375,9.869652,22.0,kph
64,0008216eee32c3901a4b1e3525f22f2c,2,2019-09-26T04:36:15.000Z,52.342785,9.8638,6.0,kph
65,0008216eee32c3901a4b1e3525f22f2c,2,2019-09-26T04:36:15.000Z,52.342785,9.8638,6.0,kph
66,0008216eee32c3901a4b1e3525f22f2c,16,2019-09-26T04:38:42.000Z,52.346578,9.86715,,kph
67,0008216eee32c3901a4b1e3525f22f2c,16,2019-09-26T04:38:42.000Z,52.346578,9.86715,,kph
68,0008216eee32c3901a4b1e3525f22f2c,0,2019-09-26T04:35:39.000Z,52.3433,9.8607,8.0,kph
69,0008216eee32c3901a4b1e3525f22f2c,0,2019-09-26T04:35:39.000Z,52.3433,9.8607,8.0,kph
70,0008216eee32c3901a4b1e3525f22f2c,26,2019-09-26T04:39:55.000Z,52.353245,9.870237,20.0,kph
71,0008216eee32c3901a4b1e3525f22f2c,26,2019-09-26T04:39:55.000Z,52.353245,9.870237,20.0,kph
72,0008216eee32c3901a4b1e3525f22f2c,40,2019-09-26T04:41:45.000Z,52.351263,9.869778,49.0,kph
73,0008216eee32c3901a4b1e3525f22f2c,40,2019-09-26T04:41:45.000Z,52.351263,9.869778,49.0,kph
74,0008216eee32c3901a4b1e3525f22f2c,38,2019-09-26T04:41:29.000Z,52.353025,9.870028,34.0,kph
75,0008216eee32c3901a4b1e3525f22f2c,38,2019-09-26T04:41:29.000Z,52.353025,9.870028,34.0,kph
76,0008216eee32c3901a4b1e3525f22f2c,44,2019-09-26T04:42:26.000Z,52.346122,9.867685,52.0,kph
77,0008216eee32c3901a4b1e3525f22f2c,44,2019-09-26T04:42:26.000Z,52.346122,9.867685,52.0,kph
78,0008216eee32c3901a4b1e3525f22f2c,39,2019-09-26T04:41:39.000Z,52.352237,9.870292,41.0,kph
79,0008216eee32c3901a4b1e3525f22f2c,39,2019-09-26T04:41:39.000Z,52.352237,9.870292,41.0,kph
80,0008216eee32c3901a4b1e3525f22f2c,21,2019-09-26T04:39:15.000Z,52.349175,9.869042,43.0,kph
81,0008216eee32c3901a4b1e3525f22f2c,21,2019-09-26T04:39:15.000Z,52.349175,9.869042,43.0,kph
82,0008216eee32c3901a4b1e3525f22f2c,43,2019-09-26T04:42:14.000Z,52.347012,9.868112,57.0,kph
83,0008216eee32c3901a4b1e3525f22f2c,43,2019-09-26T04:42:14.000Z,52.347012,9.868112,57.0,kph
84,0008216eee32c3901a4b1e3525f22f2c,25,2019-09-26T04:39:44.000Z,52.352717,9.870067,43.0,kph
